media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename,Unnamed: 8
Unknown,Tropical,0.0,CPA-40Z,20,69.16666667,574.2,Cream- Tropical oil.xlsx,
D8,Cream-Blue,0.0,CPA-40Z,0.5,25.06666667,16810.0,CREAM-BLUE-D8.xlsx,
D8,Cream-Blue,0.0,CPA-40Z,1,29.4,7264.0,CREAM-BLUE-D8.xlsx,
D8,Cream-Blue,0.0,CPA-40Z,5,39.1,1208.666667,CREAM-BLUE-D8.xlsx,
D8,Cream-Blue,0.0,CPA-40Z,15,49.5,260.4,CREAM-BLUE-D8.xlsx,
D8,Cream-Blue,0.0,CPA-40Z,45,59.53333333,74.79666667,CREAM-BLUE-D8.xlsx,
D8,Cream-Blue,0.0,CPA-40Z,250,69.0,23.75666667,CREAM-BLUE-D8.xlsx,
D8,Unknown,0.0,CPA-40Z,1,23.93333333,10343.33333,CREAM-D8 oil.xlsx,
D8,Unknown,0.0,CPA-40Z,1,29.96666667,6032.666667,CREAM-D8 oil.xlsx,
D8,Unknown,0.0,CPA-40Z,3,39.93333333,1482.666667,CREAM-D8 oil.xlsx,
D8,Unknown,0.0,CPA-40Z,10,50.23333333,333.1,CREAM-D8 oil.xlsx,
D8,Unknown,0.0,CPA-40Z,25,59.4,102.39,CREAM-D8 oil.xlsx,
D8,Unknown,0.0,CPA-40Z,100,68.83333333,25.20333333,CREAM-D8 oil.xlsx,
D8,Grape,0.0,CPA-40Z,0.1,26.2,175433.3333,CREAM-Grape-D8.xlsx,
D8,Grape,0.0,CPA-40Z,0.2,29.73333333,91910.0,CREAM-Grape-D8.xlsx,
D8,Grape,0.0,CPA-40Z,1,39.1,13183.33333,CREAM-Grape-D8.xlsx,
D8,Grape,0.0,CPA-40Z,5,48.96666667,2495.666667,CREAM-Grape-D8.xlsx,
D8,Grape,0.0,CPA-40Z,7,59.6,585.4666667,CREAM-Grape-D8.xlsx,
D8,Grape,0.0,CPA-40Z,50,68.0,214.8333333,CREAM-Grape-D8.xlsx,
Unknown,Hhc,0.0,CPA-52Z,5,25.13333333,22966.66667,CREAM-HHC oil.xlsx,
Unknown,Hhc,0.0,CPA-52Z,50,30.33333333,10243.33333,CREAM-HHC oil.xlsx,
Unknown,Hhc,0.0,CPA-52Z,50,39.26666667,2238.333333,CREAM-HHC oil.xlsx,
Unknown,Hhc,0.0,CPA-40Z,25,49.4,157.6666667,CREAM-HHC oil.xlsx,
Unknown,Hhc,0.0,CPA-40Z,50,59.5,50.75,CREAM-HHC oil.xlsx,
Unknown,Hhc,0.0,CPA-40Z,150,69.86666667,30.17333333,CREAM-HHC oil.xlsx,
D8,Gasberry,0.0,CPA-52Z,0.5 RPM,24.8,645600.0,D8 + Gasberry 3.17.23.xlsx,
D8,Gasberry,0.0,CPA-52Z,1.0 RPM,31.7,133366.6667,D8 + Gasberry 3.17.23.xlsx,
D8,Gasberry,0.0,CPA-52Z,10.0 RPM,39.3,26376.66667,D8 + Gasberry 3.17.23.xlsx,
D8,Gasberry,0.0,CPA-52Z,50.0 RPM,48.96666667,4294.666667,D8 + Gasberry 3.17.23.xlsx,
D8,Gasberry,0.0,CPA-40Z,50.0 RPM,59.6,100.46,D8 + Gasberry 3.17.23.xlsx,
D8,Gasberry,0.0,CPA-40Z,200.0 RPM,67.7,8.406666667,D8 + Gasberry 3.17.23.xlsx,
D8,Pineapple,0.0,CPA-52Z,0.5 RPM,24.8,745600.0,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx,
D8,Pineapple,0.0,CPA-52Z,1.0 RPM,31.7,133366.6667,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx,
D8,Pineapple,0.0,CPA-52Z,10.0 RPM,39.3,26376.66667,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx,
D8,Pineapple,0.0,CPA-52Z,50.0 RPM,48.96666667,4294.666667,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx,
D8,Pineapple,0.0,CPA-40Z,50.0 RPM,59.6,100.46,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx,
D8,Pineapple,0.0,CPA-40Z,200.0 RPM,67.7,8.406666667,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx,
D8,Blurazz,0.0,CPA-52Z,2,25.4,209233.3333,D8+BluRazzTerpenes-200kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,5,30.36666667,69640.0,D8+BluRazzTerpenes-200kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,25,40.26666667,12436.66667,D8+BluRazzTerpenes-200kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,75,50.1,2695.333333,D8+BluRazzTerpenes-200kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,150,59.66666667,760.2666667,D8+BluRazzTerpenes-200kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,150,64.3,449.8,D8+BluRazzTerpenes-200kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,5,24.43333333,81386.66667,D8+BluRazzTerpenes-80kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,11,30.6,27346.66667,D8+BluRazzTerpenes-80kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,25,40.1,5492.666667,D8+BluRazzTerpenes-80kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,75,50.03333333,1425.333333,D8+BluRazzTerpenes-80kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,125,60.0,461.4666667,D8+BluRazzTerpenes-80kcp.xlsx,
D8,Blurazz,0.0,CPA-52Z,125,64.56666667,292.1333333,D8+BluRazzTerpenes-80kcp.xlsx,
D8,Guava,0.0,CPA-52Z,0.5,25.26666667,1179000.0,D8+Guava 1mcp Viscosity 1-26-2024.xlsx,
D8,Guava,0.0,CPA-52Z,1,30.3,308500.0,D8+Guava 1mcp Viscosity 1-26-2024.xlsx,
D8,Guava,0.0,CPA-52Z,5,40.2,36620.0,D8+Guava 1mcp Viscosity 1-26-2024.xlsx,
D8,Guava,0.0,CPA-52Z,50,50.03333333,5016.333333,D8+Guava 1mcp Viscosity 1-26-2024.xlsx,
D8,Guava,0.0,CPA-40Z,,,,D8+Guava 1mcp Viscosity 1-26-2024.xlsx,
D8,Guava,0.0,CPA-40Z,,,,D8+Guava 1mcp Viscosity 1-26-2024.xlsx,
D8,Guava,0.0,CPA-52Z,5,25.3,81760.0,D8+guavaGelato-80kcp.xlsx,
D8,Guava,0.0,CPA-52Z,10,30.3,32130.0,D8+guavaGelato-80kcp.xlsx,
D8,Guava,0.0,CPA-52Z,50,39.7,6255.0,D8+guavaGelato-80kcp.xlsx,
D8,Guava,0.0,CPA-52Z,75,49.6,1548.666667,D8+guavaGelato-80kcp.xlsx,
D8,Guava,0.0,CPA-52Z,150,60.26666667,478.0333333,D8+guavaGelato-80kcp.xlsx,
D8,Guava,0.0,CPA-52Z,225,65.73333333,151.7,D8+guavaGelato-80kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,5,24.36666667,3366.0,D8+lemonhaze 3kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,10,30.0,1392.666667,D8+lemonhaze 3kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,15,39.86666667,418.5333333,D8+lemonhaze 3kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,40,49.3,151.5,D8+lemonhaze 3kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,75,59.36666667,49.18,D8+lemonhaze 3kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,0,69.43333333,8.586666667,D8+lemonhaze 3kcp.xlsx,
D8,Lemon,0.0,CPA-52Z,0.5,24.36666667,1070900.0,D8+LemonHaze-1mcp-3-15-23.xlsx,
