media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename
D8,Pineapple,0.0,CPA-52Z,0.5 RPM,24.8,745600.0,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx
D8,Pineapple,0.0,CPA-52Z,1.0 RPM,31.7,133366.66666666666,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx
D8,Pineapple,0.0,CPA-52Z,10.0 RPM,39.3,26376.666666666668,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx
D8,Pineapple,0.0,CPA-52Z,50.0 RPM,48.96666666666667,4294.666666666667,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx
D8,Pineapple,0.0,CPA-40Z,50.0 RPM,59.6,100.46,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx
D8,Pineapple,0.0,CPA-40Z,200.0 RPM,67.7,8.406666666666666,D8 + pineapple terpene viscosity 746 kcp 4.7.23.xlsx
D8,Blurazz,0.0,CPA-52Z,2,25.399999999999995,209233.3333333333,D8+BluRazzTerpenes-200kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,5,30.366666666666664,69640.0,D8+BluRazzTerpenes-200kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,25,40.26666666666667,12436.666666666666,D8+BluRazzTerpenes-200kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,75,50.1,2695.333333333333,D8+BluRazzTerpenes-200kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,150,59.66666666666666,760.2666666666668,D8+BluRazzTerpenes-200kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,150,64.3,449.8,D8+BluRazzTerpenes-200kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,5,24.433333333333334,81386.66666666667,D8+BluRazzTerpenes-80kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,11,30.6,27346.666666666668,D8+BluRazzTerpenes-80kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,25,40.1,5492.666666666667,D8+BluRazzTerpenes-80kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,75,50.03333333333333,1425.3333333333333,D8+BluRazzTerpenes-80kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,125,60.0,461.4666666666667,D8+BluRazzTerpenes-80kcp.xlsx
D8,Blurazz,0.0,CPA-52Z,125,64.56666666666666,292.1333333333334,D8+BluRazzTerpenes-80kcp.xlsx
D8,Guava,0.0,CPA-52Z,0.5,25.26666666666667,1179000.0,D8+Guava 1mcp Viscosity 1-26-2024.xlsx
D8,Guava,0.0,CPA-52Z,1.0,30.3,308500.0,D8+Guava 1mcp Viscosity 1-26-2024.xlsx
D8,Guava,0.0,CPA-52Z,5.0,40.2,36620.0,D8+Guava 1mcp Viscosity 1-26-2024.xlsx
D8,Guava,0.0,CPA-52Z,50.0,50.03333333333333,5016.333333333333,D8+Guava 1mcp Viscosity 1-26-2024.xlsx
D8,Guava,0.0,CPA-40Z,,,,D8+Guava 1mcp Viscosity 1-26-2024.xlsx
D8,Guava,0.0,CPA-40Z,,,,D8+Guava 1mcp Viscosity 1-26-2024.xlsx
D8,Guava,0.0,CPA-52Z,5,25.3,81760.0,D8+guavaGelato-80kcp.xlsx
D8,Guava,0.0,CPA-52Z,10,30.3,32130.0,D8+guavaGelato-80kcp.xlsx
D8,Guava,0.0,CPA-52Z,50,39.7,6255.0,D8+guavaGelato-80kcp.xlsx
D8,Guava,0.0,CPA-52Z,75,49.6,1548.6666666666667,D8+guavaGelato-80kcp.xlsx
D8,Guava,0.0,CPA-52Z,150,60.26666666666666,478.0333333333333,D8+guavaGelato-80kcp.xlsx
D8,Guava,0.0,CPA-52Z,225,65.73333333333333,151.7,D8+guavaGelato-80kcp.xlsx
D8,Lemon,0.0,CPA-40Z,5,24.366666666666664,3366.0,D8+lemonhaze 3kcp.xlsx
D8,Lemon,0.0,CPA-40Z,10,30.0,1392.6666666666667,D8+lemonhaze 3kcp.xlsx
D8,Lemon,0.0,CPA-40Z,15,39.86666666666667,418.5333333333333,D8+lemonhaze 3kcp.xlsx
D8,Lemon,0.0,CPA-40Z,40,49.3,151.5,D8+lemonhaze 3kcp.xlsx
D8,Lemon,0.0,CPA-40Z,75,59.36666666666667,49.18000000000001,D8+lemonhaze 3kcp.xlsx
D8,Lemon,0.0,CPA-40Z,0,69.43333333333334,8.586666666666668,D8+lemonhaze 3kcp.xlsx
D8,Lemon,0.0,CPA-52Z,0.5,24.366666666666664,1070900.0,D8+LemonHaze-1mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,1.0,29.33333333333333,278066.6666666667,D8+LemonHaze-1mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,15.0,39.1,28136.666666666668,D8+LemonHaze-1mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,50.0,48.73333333333333,17434.333333333332,D8+LemonHaze-1mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-40Z,100.0,58.2,103.25666666666666,D8+LemonHaze-1mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-40Z,100.0,69.53333333333333,31.30333333333333,D8+LemonHaze-1mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,0.2,24.96666666666667,2033000.0,D8+LemonHaze-2mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,1.0,29.46666666666667,602733.3333333334,D8+LemonHaze-2mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,5.0,39.333333333333336,51543.333333333336,D8+LemonHaze-2mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,25.0,49.4,6413.666666666667,D8+LemonHaze-2mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,75.0,58.56666666666666,1203.3333333333333,D8+LemonHaze-2mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,15.0,68.73333333333333,22.673333333333336,D8+LemonHaze-2mcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,2,25.2,303766.6666666667,D8+LemonHaze-300kcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,2,29.3,144466.66666666666,D8+LemonHaze-300kcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,25,39.1,17113.333333333332,D8+LemonHaze-300kcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-52Z,50,49.03333333333333,2894.6666666666665,D8+LemonHaze-300kcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-40Z,50,63.06666666666667,118.76666666666668,D8+LemonHaze-300kcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-40Z,50,68.06666666666666,67.83999999999999,D8+LemonHaze-300kcp-3-15-23.xlsx
D8,Lemon,0.0,CPA-40Z,1,24.5,606166.6666666666,D8+LemonHaze-606viscosity.xlsx
D8,Lemon,0.0,CPA-40Z,1,29.666666666666668,168533.33333333334,D8+LemonHaze-606viscosity.xlsx
D8,Lemon,0.0,CPA-40Z,10,39.73333333333333,19023.33333333333,D8+LemonHaze-606viscosity.xlsx
D8,Lemon,0.0,CPA-40Z,50,49.6,3286.0,D8+LemonHaze-606viscosity.xlsx
D8,Lemon,0.0,CPA-52Z,15,59.53333333333333,260.46666666666664,D8+LemonHaze-606viscosity.xlsx
D8,Lemon,0.0,CPA-52Z,50,69.4,82.31666666666666,D8+LemonHaze-606viscosity.xlsx
D8,Lemon,0.0,CPA-40Z,0.28,25.8,1281333.3333333333,D8+LemonHaze-viscosity 1.3MCP.xlsx
D8,Lemon,0.0,CPA-40Z,1.0,29.666666666666668,497433.3333333333,D8+LemonHaze-viscosity 1.3MCP.xlsx
D8,Lemon,0.0,CPA-40Z,15.0,39.46666666666667,45966.66666666666,D8+LemonHaze-viscosity 1.3MCP.xlsx
D8,Lemon,0.0,CPA-40Z,15.0,49.36666666666667,6632.666666666667,D8+LemonHaze-viscosity 1.3MCP.xlsx
D8,Lemon,0.0,CPA-40Z,75.0,59.4,1125.3333333333333,D8+LemonHaze-viscosity 1.3MCP.xlsx
D8,Lemon,0.0,CPA-52Z,50.0,69.23333333333333,59.46666666666667,D8+LemonHaze-viscosity 1.3MCP.xlsx
D8,Watermelon,0.0,CPA-52Z,0.8,24.7,728700.0,D8+watermelon-11.13.23-728kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,1.0,30.23333333333333,208800.0,D8+watermelon-11.13.23-728kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,5.0,40.13333333333333,24290.0,D8+watermelon-11.13.23-728kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,150.0,49.96666666666667,1063.3333333333333,D8+watermelon-11.13.23-728kcp.xlsx
D8,Watermelon,0.0,CPA-40Z,50.0,59.46666666666667,354.7333333333333,D8+watermelon-11.13.23-728kcp.xlsx
