media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,alpha-Pinene,Camphene,beta-Pinene,beta-Myrcene,3-Carene,alpha-Terpinene,p-Cymene,D-Limonene,Ocimene 1,Ocimene 2,gamma-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,Caryophyllene,alpha-Humulene,Nerolidol 1,Nerolidol 2,Guaiol,alpha-Bisabolol,timestamp,original_filename
live resin,trumed,Live Resin,25.46666666666667,53580.0,0.728479988,0.1144365070093458,0.594968518,0.049458078,0.0,0.0,0.0,0.040506825,0.005323506,0.000394567,0.005323506,0.067034549,0.0,0.0,0.0,0.012433914,0.0,0.0,0.0,0.0,0.003854515,0.00024914,0.000198537,0.00867684,0.002336449,0.000618714,0.0,0.0,0.003390572,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,trumed,Live Resin,30.2,20053.33333333333,0.728479988,0.1144365070093458,0.594968518,0.049458078,0.0,0.0,0.0,0.040506825,0.005323506,0.000394567,0.005323506,0.067034549,0.0,0.0,0.0,0.012433914,0.0,0.0,0.0,0.0,0.003854515,0.00024914,0.000198537,0.00867684,0.002336449,0.000618714,0.0,0.0,0.003390572,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,trumed,Live Resin,40.53333333333333,4212.0,0.728479988,0.1144365070093458,0.594968518,0.049458078,0.0,0.0,0.0,0.040506825,0.005323506,0.000394567,0.005323506,0.067034549,0.0,0.0,0.0,0.012433914,0.0,0.0,0.0,0.0,0.003854515,0.00024914,0.000198537,0.00867684,0.002336449,0.000618714,0.0,0.0,0.003390572,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,trumed,Live Resin,50.13333333333333,971.0333333333332,0.728479988,0.1144365070093458,0.594968518,0.049458078,0.0,0.0,0.0,0.040506825,0.005323506,0.000394567,0.005323506,0.067034549,0.0,0.0,0.0,0.012433914,0.0,0.0,0.0,0.0,0.003854515,0.00024914,0.000198537,0.00867684,0.002336449,0.000618714,0.0,0.0,0.003390572,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,trumed,Live Resin,59.4,247.4,0.728479988,0.1144365070093458,0.594968518,0.049458078,0.0,0.0,0.0,0.040506825,0.005323506,0.000394567,0.005323506,0.067034549,0.0,0.0,0.0,0.012433914,0.0,0.0,0.0,0.0,0.003854515,0.00024914,0.000198537,0.00867684,0.002336449,0.000618714,0.0,0.0,0.003390572,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,trumed,Live Rosin,25.46666666666667,56780.0,0.7781907894736843,,0.7183881578947369,0.0,0.002368421,0.0,0.0,0.033782895,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,trumed,Live Rosin,30.2,22360.0,0.7781907894736843,,0.7183881578947369,0.0,0.002368421,0.0,0.0,0.033782895,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,trumed,Live Rosin,40.53333333333333,4386.333333333333,0.7781907894736843,,0.7183881578947369,0.0,0.002368421,0.0,0.0,0.033782895,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,trumed,Live Rosin,50.13333333333333,1029.3333333333333,0.7781907894736843,,0.7183881578947369,0.0,0.002368421,0.0,0.0,0.033782895,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,trumed,Live Rosin,59.4,313.96666666666664,0.7781907894736843,,0.7183881578947369,0.0,0.002368421,0.0,0.0,0.033782895,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
