media,terpene,terpene_pct,temperature,viscosity
D9 JH+ TigersBlood-100kcp,Unknown,0,1397,13.833333333333334
D9 JH+ TigersBlood-100kcp,Unknown,0,471,6.3
D9 JH+ TigersBlood-100kcp,Unknown,0,215.9,6.400000000000001
D9+Tigers Blood 630233cP,Unknown,0,631800,79.4
D9+Tigers Blood 630233cP,Unknown,0,159100,42.166666666666664
D9+Tigers Blood 630233cP,Unknown,0,15640,21.099999999999998
D9+Tigers Blood 630233cP,Unknown,0,2254,14.766666666666666
D9+Tigers Blood 630233cP,Unknown,0,344,6.766666666666667
D9+Tigers Blood 630233cP,Unknown,0,201.1,4.066666666666666
D9+TigersBlood 7-24-24 500kcp,Unknown,0,502500,63.53333333333334
D9+TigersBlood 7-24-24 500kcp,Unknown,0,132600,84.39999999999999
D9+TigersBlood 7-24-24 500kcp,Unknown,0,16190,21
D9+TigersBlood 7-24-24 500kcp,Unknown,0,2604,17.566666666666666
D9+TigersBlood 7-24-24 500kcp,Unknown,0,555.6,10.633333333333333
D9+TigersBlood 7-24-24 500kcp,Unknown,0,285.8,5.633333333333333
D9,Unknown,0,,
D9,Unknown,0,,
D9,Unknown,0,,
D9,Unknown,0,,
D9,Unknown,0,,
D9,Unknown,0,,
DRIROS Drip Rosin Viscosity 7.31.23,Unknown,0,96200,57.96666666666667
DRIROS Drip Rosin Viscosity 7.31.23,Unknown,0,48870,43.93333333333333
DRIROS Drip Rosin Viscosity 7.31.23,Unknown,0,6945,17.599999999999998
DRIROS Drip Rosin Viscosity 7.31.23,Unknown,0,1281,12.200000000000001
KYNN- THCP KING LOUIS 6-28-23,Unknown,0,406400,25.433333333333337
KYNN- THCP KING LOUIS 6-28-23,Unknown,0,184200,49.03333333333333
KYNN- THCP KING LOUIS 6-28-23,Unknown,0,26910,34.4
KYNN- THCP KING LOUIS 6-28-23,Unknown,0,4334,27.599999999999998
KYNN-BLUE DREAM D8 6-27-23,Unknown,0,233000,57.53333333333334
KYNN-BLUE DREAM D8 6-27-23,Unknown,0,103300,66.43333333333332
KYNN-BLUE DREAM D8 6-27-23,Unknown,0,13890,16.966666666666665
KYNN-BLUE DREAM D8 6-27-23,Unknown,0,3032,19.666666666666668
KYNN-BLUEBERRY D8 6-26-23,Unknown,0,168800,62.20000000000001
KYNN-BLUEBERRY D8 6-26-23,Unknown,0,73030,48.666666666666664
KYNN-BLUEBERRY D8 6-26-23,Unknown,0,11830,16.7
KYNN-BLUEBERRY D8 6-26-23,Unknown,0,2588,17.7
KYNN-PEANUT D8 6-27-23,Unknown,0,330200,42.23333333333333
KYNN-PEANUT D8 6-27-23,Unknown,0,121700,47.53333333333333
KYNN-PEANUT D8 6-27-23,Unknown,0,17380,22.399999999999995
KYNN-PEANUT D8 6-27-23,Unknown,0,3016,19.033333333333335
Kynn-Strawberry Cough,Unknown,0,178.9,16.833333333333336
KYNN-THCP Blend D8 6-26-23,Unknown,0,4212400,55.23333333333333
