media,media_brand,terpene,total_potency,terpene_pct,temperature,viscosity,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,39.6,79430,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,49.5,11030,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,59.3,1704,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,69.1,86.33,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Distillate,Flow,Apricot/Distillate,,,25,96800,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Distillate,Flow,Apricot/Distillate,,,70,37,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,Flow,Apricot/Distillate,0.92405,,,,0.86013,0,0,0,0,0.0237,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Flow,Apricot/Live Rosin,,,25,28300,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Flow,Apricot/Live Rosin,,,70,12.6,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Flow,Apricot/Live Rosin,0.778612022,,,,0.74779235,0,0,0,0,0.022666667,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,Great White Labs,Fruit Punch/D9 Distillate,0.842522776,0.0969,,,0.782696775,0,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,Great White Labs,Live Resin,,,25,5731,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,Great White Labs,Live Resin,,,70,10.02666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,Great White Labs,Live Resin,0.739512431,0.2292,,,0.219834783,0.315888082,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs,Rainbow Sherbert/ D9 Distillate,,,25,76840,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs,Rainbow Sherbert/ D9 Distillate,,,70,115.7333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,Great White Labs,Rainbow Sherbert/ D9 Distillate,0.836470947,,,,0.780392091,0,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs,Sweet Strawberry Cloudburst/ D9 Distillate,,,25,88583.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs,Sweet Strawberry Cloudburst/ D9 Distillate,,,70,56.24333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,Great White Labs,Sweet Strawberry Cloudburst/ D9 Distillate,0.818776888,,,,0.75540916,0,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs,Watermelon Splash Cloudburst/ D9 Distillate,,,25,42266.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs,Watermelon Splash Cloudburst/ D9 Distillate,,,70,103.0666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,Great White Labs,Watermelon Splash Cloudburst/ D9 Distillate,0.823139817,,,,0.758035777,0,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs Fruit Punch,Fruit Punch/D9 Distillate,,,25,86573.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Great White Labs Fruit Punch,Fruit Punch/D9 Distillate,,,70,90.34,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Grow Sciences,GMO Cookies/ Live Rosin,,,25,577866.6667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Grow Sciences,GMO Cookies/ Live Rosin,,,70,175.9666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Grow Sciences,GMO Cookies/ Live Rosin,0.82050841,0.0756,,,0.557244639,0.263263771,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,,23.8,9542.666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,,29.9,4307.333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,,39.6,110.5666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
