media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,59.3,10.55,0.829661961,0.066890893,0.68671485,0.053774327,0,0,0,0.03114728,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,69.1,5.576666667,0.829661961,0.066890893,0.68671485,0.053774327,0,0,0,0.03114728,2025-03-14T14:04:47.777542,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,23.8,258466.6667,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,29.9,85903.33333,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,39.6,10401,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,49.5,1847,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,59.3,140.4,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,69.1,67.49333333,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Live Resin,23.8,4005,0.810931034,0.121123622,0.671054889,0.092793978,0.008492706,0,0.007604172,0.020382475,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Live Resin,29.9,1967.333333,0.810931034,0.121123622,0.671054889,0.092793978,0.008492706,0,0.007604172,0.020382475,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Live Resin,39.6,528.8333333,0.810931034,0.121123622,0.671054889,0.092793978,0.008492706,0,0.007604172,0.020382475,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Live Resin,49.5,164.4666667,0.810931034,0.121123622,0.671054889,0.092793978,0.008492706,0,0.007604172,0.020382475,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Live Resin,59.3,42.64,0.810931034,0.121123622,0.671054889,0.092793978,0.008492706,0,0.007604172,0.020382475,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Live Resin,69.1,10.24333333,0.810931034,0.121123622,0.671054889,0.092793978,0.008492706,0,0.007604172,0.020382475,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,23.8,2688000,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,29.9,894300,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,39.6,79430,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,49.5,11030,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,59.3,1704,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,69.1,86.33,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,23.8,32593.33333,0.871100785,0.061516487,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,23.8,32593.33333,0.871100785,0.073287651,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,23.8,32593.33333,0.78261861,0.061516487,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,23.8,32593.33333,0.78261861,0.073287651,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,29.9,10113.33333,0.871100785,0.061516487,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,29.9,10113.33333,0.871100785,0.073287651,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
